feature,importance,std
yr,1955933.9797240468,84297.16639429478
temp,1059345.3791121363,55000.63115860089
mnth,281203.6145520722,24270.675418438685
season,234022.14355372722,19709.730239769404
weathersit,172214.3422302936,18352.159259311302
windspeed,101161.99276754493,12796.065300666389
hum,72849.20974222636,9412.563624871758
weekday,18481.27911985551,6189.122931704221
holiday,8321.978447833108,2979.831741527946
