Model,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Num_Features
Baseline,477868.98665354075,1238116.407175286,691.280685867572,1112.706792994132,0.8504153452906174,0.6476819332827934,26
Feature Engineered,402863.577026114,1106662.0291271969,634.7153511820192,1051.9800516774055,0.8738938689316352,0.6850885552021964,24
